Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2008,2008,USD,483.2,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2009,2009,USD,465.8,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2010,2010,USD,515.2,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2011,2011,USD,476.1,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2012,2012,USD,557.9,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2013,2013,USD,613.1,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2014,2014,USD,576.7,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),79,Millet,2015,2015,USD,444.6,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2000,2000,LCU,209000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2001,2001,LCU,206000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2002,2002,LCU,211000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2003,2003,LCU,253000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2004,2004,LCU,260000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2005,2005,LCU,257641,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2006,2006,LCU,555000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2007,2007,LCU,238000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2008,2008,LCU,457000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2009,2009,LCU,466000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2010,2010,LCU,583000,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2011,2011,LCU,600997.4,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2012,2012,LCU,709190.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2013,2013,LCU,787969.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2014,2014,LCU,766013.7,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5530,Producer Price (LCU/tonne),83,Sorghum,2015,2015,LCU,711058.8,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2000,2000,USD,261.1,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2001,2001,USD,235,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2002,2002,USD,218.3,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2003,2003,USD,243.6,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2004,2004,USD,238.7,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2005,2005,USD,228.2,F,FAO estimate
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2006,2006,USD,443.3,,Official data
PP,Producer Prices - Annual,215,United Republic of Tanzania,5532,Producer Price (USD/tonne),83,Sorghum,2007,2007,USD,191.2,,Official data
